,room,time
14,차253,"['수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F']"
12,차254,"['수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F']"
13,차255,"['수A', '수D', '수E', '월B', '월C', '월F']"
24,차256,"['목B', '수D', '수E', '수F', '월C', '월D', '월F', '화A']"
105,차319,"['목A~B', '목E', '수A~B', '월E~F', '화A~B', '화C']"
106,차320,"['금C~D', '목D', '목F', '수E', '월C', '차235', '화B~C', '화D', '화F']"
104,차321,"['목D', '목E', '목F', '수D', '월F', '화C', '화D', '화F']"
28,차323,"['금1~2', '금3~4', '금5~6', '금7~8', '목5~6', '목B', '목E', '목F', '수1~2', '수3~4', '수5~6', '수E~F', '월1~2', '월3~4', '월5~6', '월E~F', '화A', '화C', '화D', '화E~F']"
29,차324,"['금1~2', '금3~4', '금5~6', '금7~8', '목B', '목C~D', '목E~F', '수1~2', '수3~4', '수5~6', '월1~2', '월3~4', '월5~6', '월7~8', '화A', '화C~D', '화E~F']"
66,차325,"['금A~B', '금C~D', '금E~F', '목A', '목C~D', '수A', '수D', '수E', ' 수F', '월B', '월C', '월D', '월F', '화B', '화C~D', '화E~F']"
55,차326,"['금A~B', '금C~D', '금E~F', '목C~D', '목E', '수A', '수B', '수C', '수D', '월A', '월B', '월C~D', '월E', '월F', '화A~B', '화C']"
103,차336,"['금E~F', '목F', '수C~D', '수F', '월D', '월E~F', '화D']"
54,차337,"['금A~B', '목A', '목B', '목C', '목F', '목G', '월C~D', '월E~F', '월G~H', '화A', '화B', '화E', '화F', '화G']"
100,차338,"['목A', '목B', '목D', '수A~B', '화A', '화B', '화F']"
101,차339,"['금E~F', '목A~B', '목C~D', '목E~F', '월E~F', '화E~F']"
102,차340,"['금C~D', '목C~D', '목E~F', '수A~B', '수C~D', '수E', '수F', '월A~B', '월C', '월D', '월E~F']"
109,차428,"['목A', '목B', '목C', '수C', '월E', '화A', '화B', '화E']"
112,차441,"['목C', '화E']"
111,차444,"['목E', '수C', '수E', '월C', '월E', '화C']"
110,차445,"['금A~B', '금C~D', '금E~F']"
155,F001,['목C~D']
135,F101,"['목C~D', '수C~D', '월C~D']"
138,F106,"['목C~D', '수A~B', '화E~F']"
136,F201,"['목C~D', '월C~D', '화C~D']"
137,F202,"['수C~D', '월C~D', '화C~D']"
140,F301,"['수E~F', '화A~B']"
139,F302,"['목A~B', '수A~B', '화C~D']"
144,K201,"['수E~F', '월C~D']"
141,L002,['화C~D']
156,L003,['화A~B']
145,L207,"['금E~F', '목C~D']"
147,L301,['월C~D']
65,L305,"['금A~B', '목C~D', '수C~D']"
152,N101,"['목C~D', '수C~D', '월E~F']"
151,N102,"['목E~F', '화E~F']"
153,N107,"['목E~F', '수C~D', '월E~F']"
143,N201,"['수E~F', '월A~B', '화E~F']"
142,N204,"['수C~D', '수E~F', '월C~D', '월E~F', '화E~F']"
148,N301,"['수C~D', '월A~B', '화C~D']"
149,N304,"['수A~B', '화A~B']"
150,N305,"['월A~B', '월C~D', '화C~D', '화E~F']"
146,N309,"['금A~B', '금C~D', '목C~D', '월C~D']"
