,room,time
90,언B119,{'목E~F'}
91,차245,"{'목A', '목E', '월C', '월A', '목D', '월F', '수A', '월D', '화A', '수C', '목F', '화D', '수D', '수B', '월E', '화C', '월B', '목B', '화F', '수F', '수E', '화B'}"
92,자C310,"{'금A~B', '금C~D'}"
93,자C301,"{'월A~B', '화C~D', '수C~D'}"
94,자C302,"{'월E~F', '목A~B'}"
95,자B201,"{'월C~D', '자A303', '수E~F', '화A~B', '목E~F'}"
96,자C305,"{'목A~B', '수C~D', '월C~D', '화E~F', '목C~D', '화A~B'}"
97,자B204,"{'', '화E~F', '월A~B', '월C~D'}"
98,자B205,"{'월C', '목C~D', '화C', '목A', '수E', '수A~B', '목E', '화B'}"
99,자C309,{'월C~D'}
100,유202,"{'', '월C', '목A~B', '금A~B', '수D', '월F', '화E', '목C', '화C', '수E', '목E'}"
101,차338,"{'화A', '화F', '목D', '목A', '목B', '수A~B', '화B'}"
102,차339,"{'금E~F', '목A~B', '화E~F', '목C~D', '월E~F', '목E~F'}"
103,차340,"{'월C', '수C~D', '금C~D', '수E', '수A~B', '목C~D', '월A~B', '수F', '월E~F', '월D', '목E~F'}"
104,차336,"{'금E~F', '수C~D', '목F', '화D', '수F', '월E~F', '월D'}"
105,차321,"{'화F', '목F', '화D', '수D', '목D', '월F', '화C', '목E'}"
106,차319,"{'목A~B', '화C', '월E~F', '수A~B', '화A~B', '목E'}"
107,차320,"{'월C', '화F', '금C~D', '목F', '화D', '화B~C', '목D', '차235', '수E'}"
108,자B202,"{'월C', '화F', '화A', '수C', '목F', '화D', '목D', '수2~3', '목B', '화E', '월E', '목C', '화C', '목A', '수E', '목E', '화B'}"
109,자C104,"{'', '화7~10', '화3~6'}"
110,차428,"{'화A', '수C', '화E', '월E', '목C', '목A', '목B', '화B'}"
111,차445,"{'금A~B', '금E~F', '금C~D'}"
112,차444,"{'월C', '수C', '월E', '화C', '수E', '목E'}"
113,차441,"{'목C', '화E'}"
114,자C203,"{'수C~D', '화E~F', '수E~F', '수G~H', '월G~H'}"
115,자C110,"{'월E~F', '화E~F'}"
116,자A303,{'월C~D'}
117,자A203,{'자B202'}
118,자A103,{'자B203'}
119,라105,{'화2~3'}
120,라008,{'목3~4'}
121,누101,{'화5~6'}
122,약202,"{'목7', '수2~3', '월1~2', '화2~3', '화7'}"
123,약204,"{'약205', '약206', '월3~4', '화6', '화2~3'}"
124,약203,"{'목8', '월2~3', '약204', '수2~3', '화3', '월5~6'}"
125,약205,"{'화F', '월A', '수1~2', '약206', '화D', '월7', '화E', '수5~6', '금A', '월B', '월6'}"
126,약207,"{'화F', '약212', '약105', '화D', '목4', '금D', '목D', '화E', '월7~8', '월5~6', '수5~6', '월1~2'}"
127,약206,"{'화F', '수7~8', '월8', '화D', '약207', '수2~3', '화E', '금B', '월D'}"
128,약102,"{'', '화E~F', '화A~B', '화C~D'}"
129,약105,"{'화3~4', '화1~2', '목7~8', '목C', '목2~3', '목6'}"
130,약212,"{'목5', '월7~8', '월5~6', '월1~2', '목E'}"
131,약107,"{'화8~9', '목9~10', '금2~3', '화1~2', '목5~6', '목7~8', '수5~6', '수2~3', '수8~10', '월7~8', '화3~5', '목2~3', '화10'}"
132,약104,"{'약201', '목3~4', '금5~6', '월3~4'}"
133,약201,"{'화3~4', '월A', '화1~2', '화5~6', '수2~3', '월B', '월D', '수6~7'}"
134,약103,"{'수1~3', '수4~6', '수7~9'}"
135,약211,"{'금1~3', '금7~9', '금4~6'}"
136,F101,"{'목C~D', '수C~D', '월C~D'}"
137,F201,"{'목C~D', '화C~D', '월C~D'}"
138,F202,"{'화C~D', '수C~D', '월C~D'}"
139,F106,"{'화E~F', '수A~B', '목C~D'}"
140,F302,"{'수A~B', '목A~B', '화C~D'}"
141,F301,"{'수E~F', '화A~B'}"
142,L002,{'화C~D'}
143,N204,"{'수C~D', '월C~D', '화E~F', '수E~F', '월E~F'}"
144,N201,"{'수E~F', '화E~F', '월A~B'}"
145,K201,"{'수E~F', '월C~D'}"
146,L207,"{'목C~D', '금E~F'}"
147,N309,"{'', '금C~D', '월C~D', '금A~B', '목C~D'}"
148,L301,{'월C~D'}
149,N301,"{'화C~D', '월A~B', '수C~D'}"
150,N304,"{'', '수A~B', '화A~B'}"
151,N305,"{'화C~D', '화E~F', '월A~B', '월C~D'}"
152,N102,"{'화E~F', '목E~F'}"
153,N101,"{'월E~F', '목C~D', '수C~D'}"
154,N107,"{'월E~F', '수C~D', '목E~F'}"
155,차224,"{'', '월E', '수C'}"
156,F001,{'목C~D'}
157,L003,{'화A~B'}
158,N103,{''}
